Image Name,Image Context,Hate/No hate,TARGET_1,Confidence_Score,STANCE_1,TARGET_2,Confidence_Score,STANCE_2,TARGET_3,Confidence_Score,STANCE_3
instagram_memes_scraper_meme_0745.jpg,Just imagine Animal movie Boss and RC chesi unte? Tripti Dimri ni RC kakunda Boss esevadu script change chesi,No hate,tollywood,9,neutral,Fan Theories,9,Neutral,Casting,8,Neutral
instagram_memes_scraper_meme_0746.jpg,BADRA (2005) Nijam Cheppu.. Ee Movie Theesindhi Meerena..? Meeru Nammakapothe.. Dhaaniki Nenem Cheyyalra..,No hate,tollywood,9,neutral,Boyapati Srinu,9,Neutral,Ravi Teja,8,Neutral
instagram_memes_scraper_meme_0747.jpg,Sariga Chair height undadhu Attitude matram "Anushka" level lo untundhi,No hate,entertainment,9,neutral,Attitude,9,Neutral,Anushka Shetty,8,Positive
instagram_memes_scraper_meme_0748.jpg,EVERYBODY HAS A CRUSH ON A "MUSLIM GIRL" ❤️🥰,No hate,religious,9,positive,Crushes,9,Positive,Beauty,8,Positive
instagram_memes_scraper_meme_0749.jpg,GOAT MESSI SPEAKING TELUGU CHAAVU DHEBBA KOTTAVU KADHARA,No hate,entertainment,9,neutral,Lionel Messi,9,Neutral,Deepfake Humor,8,Neutral
instagram_memes_scraper_meme_0750.jpg,www.5MovieRulz.com EEROJU ANTHA FREE SHOW,No hate,tollywood,9,neutral,Piracy,9,Neutral,Movie Releases,8,Neutral
instagram_memes_scraper_meme_0751.jpg,MY CHOICE AT WINTER (Tea/Bajji) MY FRIEND CHOICE AT WINTER (Xhamster/XNXX.COM),No hate,none,9,neutral,Winter Habits,9,Neutral,Adult Content,8,Neutral
instagram_memes_scraper_meme_0752.jpg,MASTER OROCHI GENSHIN AKKADEY STUCK AIPOINDI NAA BRAIN,No hate,entertainment,9,neutral,Genshin Impact,9,Neutral,Confusion,8,Neutral
instagram_memes_scraper_meme_0753.jpg,THE RULE **PEOPLE WHO WATCHED NATA VISHWAROOPANNI CHUSAAM SIR,No hate,tollywood,9,positive,Pushpa 2,9,Positive,Allu Arjun,9,Positive
instagram_memes_scraper_meme_0754.jpg,SISU ROAD TO REVENGE Sisu 2 : Action/Gore/thriller THATHA...MALLI CHINCHESAAADAYYA,No hate,entertainment,9,positive,Sisu Movie,9,Positive,Action Movies,8,Positive
instagram_memes_scraper_meme_0755.jpg,Evergreen Classic RE-RELEASING ON JAN 1st 2026 Nuvvu Naaku Nachav! Assal Venky Mama Timing ey Veru...,No hate,tollywood,9,positive,Venkatesh,9,Positive,Movie Re-release,8,Positive
instagram_memes_scraper_meme_0756.jpg,MBBS interns gets "stipend" right Yes it's only my stipend can buy me this luxury,No hate,health care,9,negative,Education,9,Negative,Financial Struggles,8,Negative
instagram_memes_scraper_meme_0757.jpg,200 is the new normal in IPL 2024. 3 common things nowadays: 1. iphone 15 in every middle class family 2. travelling without ticket in 3AC 3. scoring 200+ in IPL.,No hate,cricket,9,neutral,Lifestyle Trends,9,Neutral,IPL 2024,8,Neutral
instagram_memes_scraper_meme_0758.jpg,Please don't Fail this time Indian Cinema KALKI JUNE 27; 2024,No hate,tollywood,9,positive,Kalki 2898 AD,9,Positive,Indian Cinema,8,Positive
instagram_memes_scraper_meme_0759.jpg,Average Indian man looking for a wife: DO NOT ACCEPT IF SEAL IS BROKEN!!,No hate,none,9,neutral,Marriage Standards,9,Neutral,Social Commentary,8,Neutral
instagram_memes_scraper_meme_0760.jpg,Veellu RAW agents ah Insurance agents ah THE GREATEST OF ALL TIME,No hate,entertainment,9,neutral,The GOAT Movie,9,Neutral,Thalapathy Vijay,8,Neutral
instagram_memes_scraper_meme_0761.jpg,Assistant Director ga chesi; moodella kathanu pattukuni thirigi; producer dhoraka... Sandeep Vanga... Craft tho cinema theesi sahanaanni nerpinchinanduku 🙏,No hate,tollywood,9,positive,Sandeep Reddy Vanga,9,Positive,Filmmaking Journey,8,Positive
instagram_memes_scraper_meme_0762.jpg,Me when people say kalki is better than salaar,No hate,tollywood,9,neutral,Kalki 2898 AD,9,Neutral,Salaar,8,Neutral
instagram_memes_scraper_meme_0763.jpg,Audience when babu movies telecast on tv,No hate,tollywood,9,positive,Mahesh Babu,9,Positive,Television Telecast,8,Positive
instagram_memes_scraper_meme_0764.jpg,Traditional culture of India? Women have more sex partners than men in most Indian states; finds NFHS survey,No hate,politics,9,neutral,Social Surveys,9,Neutral,Indian Culture,8,Neutral
instagram_memes_scraper_meme_0765.jpg,Side. Front. (Prabhas Profile Comparison),No hate,tollywood,9,positive,Prabhas,9,Positive,Celebrity Looks,8,Positive
instagram_memes_scraper_meme_0766.jpg,Saffronised India NDA governments,No hate,politics,9,neutral,NDA,9,Neutral,Election Results,8,Neutral
instagram_memes_scraper_meme_0767.jpg,difference ento thelusukoni ippudaina sarigga type cheyandi Appudo Ippudo Eppudo - Diwali Release,No hate,tollywood,9,neutral,Nikhil Siddhartha,9,Neutral,Movie Titles,8,Neutral
instagram_memes_scraper_meme_0768.jpg,Content unnodki Cutout chalu,No hate,tollywood,9,positive,Prabhas,9,Positive,Nag Ashwin,8,Positive
instagram_memes_scraper_meme_0769.jpg,Mottham 121 emojis.. 1+2+1 = 4 fans; Maths class egatengi Twitter ki vaste ilane untundi; Casual ga esara nijamgane lekkapettava erripuka,No hate,entertainment,9,negative,Fan Wars,9,Negative,Social Media Banter,8,Negative
